Catalog Number,Alternative Number,Source,Species,Populations,Endemism,Ecoregions,Structural Archs,Country,State/Province,County,Locality,Longitude,Latitude
AMNH272698,,AMNH-AMCC,P. brevicauda,GALVEZ,Inambari,Southwest Amazon moist forests,Iquitos – Serra do Moa,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Rio Galvez",-73.16208,-5.2495
AMNH272700,,AMNH-AMCC,P. brevicauda,GALVEZ,Inambari,Southwest Amazon moist forests,Iquitos – Serra do Moa,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Rio Galvez",-73.16208,-5.2495
MUSM13338,,AMNH-AMCC,P. brevicauda,GALVEZ,Inambari,Southwest Amazon moist forests,Iquitos – Serra do Moa,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Rio Galvez",-73.16208,-5.2495
FMNH175255,,FMNH,P. brevicauda,MADRE,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Madre de Dios,Manu,"Maskoitania, 13.4 km NNW Atalaya, left bank Rio Alto Madre de Dios",-71.38542,-12.77165
MSB238391,,MSB,P. brevicauda,BOLIVIA,South Inambari,Bolivian Yungas,South Fitzcarrald,Bolivia,Cochabamba,No information,"El Palmar, Rio Cochi Mayu",-65.54972,-17.10722
MSB70574,,MSB,P. brevicauda,BOLIVIA,South Inambari,Bolivian Yungas,South Fitzcarrald,Bolivia,Cochabamba,No information,"El Palmar, Rio Cochi Mayu",-65.54972,-17.10722
MSB70575,,MSB,P. brevicauda,BOLIVIA,South Inambari,Bolivian Yungas,South Fitzcarrald,Bolivia,Cochabamba,No information,"12.5 Km SW Villa Tunari, Parque Natl. Carrasco",-65.46667,-17.05
MVZ194439,INPA3442,MVZ,P. brevicauda,ACRE,Inambari,Iquitos várzea,Iquitos – Serra do Moa,Brazil,Acre,Porto Walter,"Igarape Porongaba, margem direita Rio Jurua",-72.78304,-8.66663
MVZ194463,MPEG28360,MVZ,P. brevicauda,ACRE,Inambari,Iquitos várzea,Iquitos – Serra do Moa,Brazil,Acre,Porto Walter,"Nova Vida, right bank, Rio Jurua",-72.81667,-8.36666
MVZ194485,MPEG28371,MVZ,P. brevicauda,ACRE,Inambari,Iquitos várzea,Iquitos – Serra do Moa,Brazil,Acre,Porto Walter,"Sobral, margem esquerda Rio Jurua",-72.81662,-8.36666
MVZ155121,,MVZ,P. brevicauda,AMAZONAS,Napo,Ucayali and Napo moist forests,Marañón – Andes,Peru,Amazonas,No information,"Vicinity of Huampami (Aguaruna Village), Rio Cenepa",-78.168333,-4.456667
MVZ157905,,MVZ,P. brevicauda,AMAZONAS,Napo,Ucayali and Napo moist forests,Marañón – Andes,Peru,Amazonas,No information,"La Poza, Rio Santiago",-77.766667,-4.05
MVZ157855,,MVZ,P. brevicauda,MADRE,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Madre di Dios,No information,"Lago Sandoval, Rio Madre de Dios",-69.07,-12.63333
MVZ168953,,MVZ,P. brevicauda,MADRE,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Madre di Dios,No information,"Albergue Cusco Amazonica, Rio Madre de Dios, ca. 12 Km E Puero Maldonado",-69.07289,-12.6
TTU101179,TK73909,TTU,P. brevicauda,IQUITOS,Napo,Iquitos várzea,Iquitos – Serra do Moa,Peru,Loreto,Maynas,"Iquitos, 21 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398
TTU101195,TK73940,TTU,P. brevicauda,IQUITOS,Napo,Iquitos várzea,Iquitos – Serra do Moa,Peru,Loreto,Maynas,"Iquitos, 21 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398
TTU101213,TK73977,TTU,P. brevicauda,IQUITOS,Napo,Iquitos várzea,Iquitos – Serra do Moa,Peru,Loreto,Maynas,"Iquitos, 25 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398
MUSM13339,,AMNH-AMCC,P. simonsi,GALVEZ,Inambari,Southwest Amazon moist forests,Iquitos – Serra do Moa,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Rio Galvez",-73.16208,-5.2495
MUSM13342,,AMNH-AMCC,P. simonsi,GALVEZ,Inambari,Southwest Amazon moist forests,Iquitos – Serra do Moa,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Rio Galvez",-73.16208,-5.2495
FMNH175275,,FMNH,P. simonsi,CENTRAL_ANDES,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Cusco,Paucartambo,"Consuelo, 15.9 km SW Pilcopata",-71.49185,-13.02362
EFA37,,LMUSP,P. simonsi,SOLIMOES,Inambari,Juruá-Purus moist forests,Purus – Carauari,Brazil,Amazonas,Anori,"Rio Purus, margem esquerda, Comunidade de Uixi, Sitio de Acai, antiga Comunidade",-62.26745,-4.42802
MSB236594,,MSB,P. simonsi,MADEIRA,Inambari,Southwest Amazon moist forests,South Fitzcarrald,Bolivia,Pando,No information,Santa Rosa,-68.91681,-11.3501
MVZ194602,MPEG28409,MVZ,P. simonsi,ACRE,Inambari,Iquitos várzea,Iquitos – Serra do Moa,Brazil,Acre,Porto Walter,"Sobral, margem esquerda Rio Jurua",-72.81662,-8.36666
MVZ194635,MPEG28447,MVZ,P. simonsi,ACRE,Inambari,Iquitos várzea,Iquitos – Serra do Moa,Brazil,Acre,Porto Walter,"Igarape Porongaba, margem direita Rio Jurua",-72.78304,-8.66663
MVZ194711,MPEG28417,MVZ,P. simonsi,SOLIMOES,Inambari,Juruá-Purus moist forests,Purus – Carauari,Brazil,Amazonas,Jurua,"Lago Vai-quem-quer, right bank, Rio Jurua",-66.01666,-3.31666
MVZ166815,,MVZ,P. simonsi,YUNGAS,Inambari,Peruvian Yungas,Serra do Moa – Andes,Peru,Madre de Dios,No information,"Aguas Calientes, Rio Alto Madre de Dios, 1 km below Shintuya",-76.16667,-8.83333
MVZ194703,MPEG28398,MVZ,P. simonsi,JURUA,Inambari,Southwest Amazon moist forests,Carauari – Iquitos,Brazil,Amazonas,Itamarati,"Altamira, margem direita Rio Jurua",-68.89219,-6.58282
MVZ194775,MPEG28427,MVZ,P. simonsi,JURUA,Inambari,Southwest Amazon moist forests,Carauari – Iquitos,Brazil,Amazonas,Itamarati,"Barro Vermelho, margem esquerda, Rio Jurua",-68.76672,-6.46666
MVZ157968,,MVZ,P. simonsi,MARANON,Napo,Napo moist forests,Marañón – Andes,Peru,Amazonas,No information,"La Poza, Rio Santiago",-77.766667,-4.05
MVZ168955,,MVZ,P. simonsi,MADRE,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Madre de Dios,No information,"Albergue Cusco Amazonica, Rio Madre de Dios, ca. 12 Km E Puero Maldonado",-69.07289,-12.6
MJ529,,MZUSP,P. simonsi,MADEIRA,Inambari,Southwest Amazon moist forests,South Fitzcarrald,Brazil,Rondonia,Porto Velho,"Abuna, margem esquerda do Rio Madeira, Fortaleza do Abuna",-65.43986,-9.63406
TTU101118,TK73760,TTU,P. simonsi,MARANON,Napo,Iquitos várzea,Iquitos – Serra do Moa,Peru,Loreto,Maynas,"Iquitos, 25 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398
USNM619007,LLW424,NMNH,P. simonsi,YUNGAS,Inambari,Peruvian Yungas,Serra do Moa – Andes,Peru,Cusco,No information,Cordillera de Vilcabamba,-73.34073,-11.77955
USNM579697,,NMNH,P. simonsi,CENTRAL_ANDES,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Puno,No information,"Fila Boca Guacamayo, SE; Rio Tavara",-69.6844,-13.5044
USNM619001,LHE0742,NMNH,P. simonsi,CENTRAL_ANDES,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Bolivia,La Paz,Iturraldi,"Rio Madidi, Moire Camp",-68.7667,-13.5833
USNM619003,LHE0820,NMNH,P. simonsi,CENTRAL_ANDES,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Madre de Dios,No information,"Rio Tavara, Fila Boca Guacamayo",-69.6833,-13.505
USNM619008,ACF076,NMNH,P. simonsi,MADRE,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Madre de Dios,No information,"Santuario Nacional Pampas del Heath, Refugio Juliaca",-68.88173,-12.95664
MSB236698,,MSB,P. steerei,PANDO,Inambari,Southwest Amazon moist forests,South Fitzcarrald,Bolivia,Pando,No information,La Cruz,-68.84981,-11.35059
MSB236689,,MSB,P. steerei,MADRE_BENI,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Bolivia,Pando,No information,"Opposite Independencia, Right bank Rio Madre de Dios",-67.56023,-11.49004
MSB236807,,MSB,P. steerei,MADRE_BENI,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Bolivia,Beni,No information,Boca del rio biata,-66.77966,-11.74947
MVZ194874,MPEG28572,MVZ,P. steerei,ACRE,Inambari,Iquitos várzea,Iquitos – Serra do Moa,Brazil,Acre,Porto Walter,"Sobral, margem esquerda Rio Jurua",-72.81662,-8.36666
MVZ194879,MPEG28575,MVZ,P. steerei,ACRE,Inambari,Iquitos várzea,Iquitos – Serra do Moa,Brazil,Acre,Porto Walter,"Nova Vida, right bank, Rio Jurua",-72.81667,-8.36666
MVZ195034,MPEG28562,MVZ,P. steerei,JAINU,Inambari,Southwest Amazon moist forests,Carauari – Iquitos,Brazil,Amazonas,Itamarati,"Jainu, right bank, Rio Jurua",-68.76667,-6.46669
MVZ195036,MPEG28564,MVZ,P. steerei,JAINU,Inambari,Southwest Amazon moist forests,Carauari – Iquitos,Brazil,Amazonas,Itamarati,"Jainu, right bank, Rio Jurua",-68.76667,-6.46669
MVZ194909,MPEG28486,MVZ,P. steerei,JURUA,Inambari,Iquitos várzea,Carauari – Iquitos,Brazil,Amazonas,Ipixuna,"Igarape Nova Empresa, left bank, Rio Jurua",-70.73359,-6.80001
MVZ194914,MPEG28491,MVZ,P. steerei,JURUA,Inambari,Iquitos várzea,Carauari – Iquitos,Brazil,Amazonas,Ipixuna,"Igarape Nova Empresa, left bank, Rio Jurua",-70.73359,-6.80001
MVZ194987,MPEG28540,MVZ,P. steerei,JURUA,Inambari,Iquitos várzea,Carauari – Iquitos,Brazil,Amazonas,No information,"Penedo, right bank Rio Jurua",-70.75008,-6.83344
MVZ194997,MPEG28543,MVZ,P. steerei,JURUA,Inambari,Iquitos várzea,Carauari – Iquitos,Brazil,Amazonas,Ipixuna,"Sacado (Condor), margem direita, Rio Jurua",-70.85003,-6.75
MVZ168942,,MVZ,P. steerei,PANDO,Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Madre de Dios,No information,"Albergue Cusco Amazonica, Rio Madre de Dios, ca. 12 Km E Puero Maldonado",-69.07289,-12.6
MVZ190951,,MVZ,P. steerei,SOLIMOES,Inambari,Juruá-Purus moist forests,Purus – Carauari,Brazil,Amazonas,No information,"Ilhazinha, left bank Rio Jurua on Igarape Arabidi, affluent of Parana Breu",-66.2333,-3.2833
MVZ190954,,MVZ,P. steerei,SOLIMOES,Inambari,Juruá-Purus moist forests,Purus – Carauari,Brazil,Amazonas,No information,"Ilha Paxiuba, right bank Rio Jurua",-66,-3.31667
USNM619002,LHE0747,NMNH,P. steerei,MADRE_BENI,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Bolivia,La Paz,No information,No information,-68.7667,-13.5833
